symbol,synonyms,gene_locus,gene_id,transcript_id,conservation,conservation_ortholog,conservation_species,biological_context,context_detail,tissue/cell line,genome_variation,variation_detail,epigenetic_modification,modification_detail,expression,expression_detail,regulator_type,regulator,regulator_interaction,regulator_effect,target_type,target,target_interaction,target_effect,experimental_method,molecular_function,biological_process,pathway,functional_mechanism,clinical_detail,drug,description,pmid
MALAT1,,,,,,NA,,Disease,Sepsis,PBMC;U937,NA,NA,NA,NA,RNA,NA,NA,NA,NA,NA,miRNA,miR-125b,RNA-RNA,Inhibit,NA,NA,NA,Stat3 signaling pathway,ceRNA,NA,NA,,35426182
MALAT1,,,,,,NA,,Disease,Sepsis,Bronchial,NA,NA,NA,NA,RNA,Up-regulated,NA,NA,NA,NA,lncRNA,CRNDE,RNA-RNA,Inhibit,QRT-PCR,NA,Apoptosis,NA,NA,NA,NA,,35300579
